# Gravity accuracy test - SWIFT FORCES
# G=   4.30091755e+01
# N= 10
# periodic= 1
# theta=   1.00000000e-02
# Git Branch: master
# Git Revision: v1.0.0-359-gdf3f05c9-dirty
#               id           pos[0]           pos[1]           pos[2]       a_swift[0]       a_swift[1]       a_swift[2]        potential          a_PM[0]          a_PM[1]          a_PM[2]      potentialPM         a_p2p[0]         a_p2p[1]         a_p2p[2]         a_m2p[0]         a_m2p[1]         a_m2p[2]         a_m2l[0]         a_m2l[1]         a_m2l[2]            n_p2p            n_m2p            n_m2l             n_PM
              3810   3.22668255e+00   1.84992579e+00   2.67372054e+00  -1.54747851e-02  -3.28885019e-02   2.47905906e-02   3.03664841e-02  -1.59342010e-02  -3.29248086e-02   2.45500840e-02   2.52900776e-02   4.59415780e-04   3.63074396e-05   2.40505848e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              1600   1.85202073e+00   3.70801607e+00   3.36879995e+00   3.77091728e-02   8.44359323e-02   2.88076177e-02  -1.20103143e-01   3.22497450e-02   7.53179118e-02   2.58382093e-02  -1.23130746e-01   5.45942923e-03   9.11802147e-03   2.96940864e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              5570   1.58935179e+00   1.08165718e+00   1.91989992e+00  -1.76202017e-03   5.74138435e-03   1.34858908e-02  -2.74610166e-02  -5.52432518e-03  -2.67066108e-03  -1.30953090e-02  -2.98792571e-02   3.76230502e-03   8.41204543e-03   2.65811998e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              3460   4.24027923e+00   4.64926894e+00   3.10394730e+00  -5.90013191e-02   1.05802506e-01   6.88874945e-02  -5.82704060e-02  -4.67148647e-02   8.45473781e-02   4.23348323e-02  -6.04029261e-02  -1.28583768e-02   1.70457903e-02   2.44860221e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              3490   3.03112730e+00   6.57445827e-01   4.64545015e+00   2.52944827e-02  -3.51052452e-03  -4.56232429e-02   6.15291717e-03   2.11930927e-02  -1.07634428e-03  -4.15238999e-02   1.50386267e-03   4.13369806e-03  -2.41625961e-03  -4.19141911e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              5980   4.41603346e+00   3.92643241e+00   3.13499711e+00  -2.36782972e-02   4.61237133e-02  -7.30709871e-03   2.89089582e-03  -2.36983411e-02   4.60721292e-02  -7.13601569e-03  -2.23103631e-03  -1.86090998e-04   8.98568833e-05  -1.61585252e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              8250   2.83110006e+00   3.49457676e+00   4.05578771e+00  -7.32518956e-02   8.50640535e-02  -2.96385940e-02  -7.02062920e-02  -7.20703527e-02   8.55064169e-02  -2.89346874e-02  -7.51077086e-02  -1.18154124e-03  -4.42362187e-04  -7.03908212e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              5620   3.39006381e+00   3.41735588e-02   4.33292809e+00  -7.45645212e-03   4.44739833e-02  -3.42133865e-02  -1.42057529e-02   6.52991282e-03   3.31564359e-02  -2.65485514e-02  -1.57195795e-02  -7.72687467e-03   2.64201220e-02  -7.90614076e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              9780   7.71640642e-01   1.72971120e-01   2.58574504e+00  -6.88370019e-02   2.68767551e-02  -7.89569393e-02  -3.17831412e-02  -5.83656505e-02   2.53497008e-02  -7.58437440e-02  -3.46694067e-02  -1.03519280e-02   1.56603043e-03  -3.09469132e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
               910   1.25612206e+00   1.80907205e-01   2.21876064e-01  -5.77845722e-02  -9.80402678e-02   1.11775756e-01  -3.53579745e-02  -4.75888513e-02  -6.70857280e-02   8.39624256e-02  -3.65996137e-02  -5.28273195e-05   1.04054197e-04   1.68331200e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              8270   5.29581501e-02   1.12127158e+00   6.55332048e-01  -1.08910963e-01   2.37983391e-02  -1.18040210e-02  -4.18539010e-02  -5.59776723e-02   1.01377917e-02  -1.97547376e-02  -4.25348319e-02   1.84139174e-06   1.38209873e-06   2.99798671e-06   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
              9790   1.05531216e+00   3.35981314e+00   2.93491648e+00   2.98422482e-03   4.44251150e-02   3.57536152e-02  -6.34305701e-02   2.97679775e-03   4.43800390e-02   3.46771479e-02  -6.84596151e-02   7.42800694e-06   4.50749976e-05   1.07646640e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00              366                0                0                0
