# Matter power spectrum
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = 2.937999e+73 cm**3
#      Unit = 1.000000e+18 pc**3
#      Unit = 1.000000e+00 Mpc**3
# (3)  The shot-noise power (scale-independant)
#      Unit = 2.937999e+73 cm**3
#      Unit = 1.000000e+18 pc**3
#      Unit = 1.000000e+00 Mpc**3
#
#       (0)             (1)             (2)             (3)    
#             z               k            P(k)         P_noise
   127.00000000  9.26565735e+02  9.29987470e+01  9.59345338e+03
   127.00000000  9.53817688e+02 -1.16830909e+01  9.59345338e+03
   127.00000000  9.81069641e+02 -4.68909520e+01  9.59345338e+03
   127.00000000  1.00832153e+03  1.25390683e+02  9.59345338e+03
   127.00000000  1.03557349e+03 -8.99407971e+01  9.59345338e+03
   127.00000000  1.06282544e+03 -1.03779481e+02  9.59345338e+03
   127.00000000  1.09007739e+03 -5.70946317e+01  9.59345338e+03
   127.00000000  1.11732935e+03  8.88090903e+01  9.59345338e+03
   127.00000000  1.14458118e+03 -1.30744261e+02  9.59345338e+03
   127.00000000  1.17183313e+03  9.99289543e+01  9.59345338e+03
   127.00000000  1.19908508e+03  6.86340731e+01  9.59345338e+03
   127.00000000  1.22633704e+03  1.07115055e+02  9.59345338e+03
   127.00000000  1.25358899e+03  2.52412436e+02  9.59345338e+03
